2025-01-14 21:28:41.990644 - CPU: 2.3% | Memória: 50.1% | Disco: 45.3% | Enviado: 683.66 MB | Recebido: 29066.34 MB
2025-01-14 21:28:44.998691 - CPU: 2.3% | Memória: 50.3% | Disco: 45.3% | Enviado: 683.66 MB | Recebido: 29066.35 MB
2025-01-14 21:28:48.011693 - CPU: 2.2% | Memória: 50.2% | Disco: 45.3% | Enviado: 683.67 MB | Recebido: 29066.36 MB
2025-01-14 21:28:51.019156 - CPU: 16.7% | Memória: 50.1% | Disco: 45.3% | Enviado: 683.86 MB | Recebido: 29089.10 MB
2025-01-14 21:29:28.136659 - CPU: 0.4% | Memória: 49.1% | Disco: 45.3% | Enviado: 684.42 MB | Recebido: 29151.70 MB
2025-01-14 21:29:31.144023 - CPU: 4.4% | Memória: 49.1% | Disco: 45.3% | Enviado: 684.43 MB | Recebido: 29151.71 MB
2025-01-14 21:29:34.153149 - CPU: 18.8% | Memória: 49.1% | Disco: 45.3% | Enviado: 684.57 MB | Recebido: 29168.74 MB
2025-01-14 21:29:37.160751 - CPU: 6.8% | Memória: 49.2% | Disco: 45.3% | Enviado: 684.70 MB | Recebido: 29183.22 MB
2025-01-14 21:29:40.167614 - CPU: 1.4% | Memória: 49.1% | Disco: 45.3% | Enviado: 684.72 MB | Recebido: 29183.23 MB
2025-01-14 21:39:59.178090 - CPU: 2.7% | Memória: 52.3% | Disco: 45.2% | Enviado: 697.15 MB | Recebido: 30412.05 MB
2025-01-14 21:40:02.189608 - CPU: 3.3% | Memória: 52.4% | Disco: 45.2% | Enviado: 697.16 MB | Recebido: 30412.06 MB
2025-01-14 21:40:05.201098 - CPU: 1.7% | Memória: 52.2% | Disco: 45.2% | Enviado: 697.17 MB | Recebido: 30412.07 MB
2025-01-14 21:40:08.208647 - CPU: 4.5% | Memória: 50.8% | Disco: 45.2% | Enviado: 697.18 MB | Recebido: 30412.09 MB
2025-01-14 21:40:11.224060 - CPU: 17.7% | Memória: 51.0% | Disco: 45.2% | Enviado: 697.20 MB | Recebido: 30412.10 MB
2025-01-14 21:40:14.235768 - CPU: 20.1% | Memória: 51.3% | Disco: 45.2% | Enviado: 697.31 MB | Recebido: 30423.79 MB
2025-01-14 21:40:17.243708 - CPU: 9.7% | Memória: 51.5% | Disco: 45.2% | Enviado: 697.53 MB | Recebido: 30451.91 MB
2025-01-14 21:40:48.226739 - CPU: 4.0% | Memória: 51.4% | Disco: 45.2% | Enviado: 697.90 MB | Recebido: 30495.47 MB
2025-01-14 21:40:51.233899 - CPU: 2.7% | Memória: 51.1% | Disco: 45.2% | Enviado: 697.91 MB | Recebido: 30495.48 MB
2025-01-14 21:40:54.242497 - CPU: 1.3% | Memória: 51.2% | Disco: 45.2% | Enviado: 697.92 MB | Recebido: 30495.50 MB
2025-01-14 21:41:26.843259 - CPU: 18.2% | Memória: 51.6% | Disco: 45.2% | Enviado: 698.69 MB | Recebido: 30586.56 MB
2025-01-14 21:41:34.627096 - CPU: 2.0% | Memória: 51.6% | Disco: 45.2% | Enviado: 698.71 MB | Recebido: 30586.59 MB
2025-01-14 21:41:39.067521 - CPU: 3.6% | Memória: 51.2% | Disco: 45.2% | Enviado: 698.74 MB | Recebido: 30586.60 MB
2025-01-14 21:41:49.075880 - CPU: 14.6% | Memória: 51.3% | Disco: 45.2% | Enviado: 698.90 MB | Recebido: 30606.34 MB
2025-01-14 21:41:55.763950 - CPU: 1.1% | Memória: 51.4% | Disco: 45.2% | Enviado: 699.08 MB | Recebido: 30627.99 MB
2025-01-14 21:42:21.108261 - CPU: 1.7% | Memória: 51.3% | Disco: 45.2% | Enviado: 699.09 MB | Recebido: 30628.02 MB
2025-01-15 22:31:12.082524 - CPU: 0.4% | Memória: 52.5% | Disco: 46.2% | Enviado: 757.92 MB | Recebido: 32660.98 MB
2025-01-15 22:31:27.066051 - CPU: 4.6% | Memória: 52.0% | Disco: 46.2% | Enviado: 757.94 MB | Recebido: 32661.02 MB
2025-01-15 22:31:30.074744 - CPU: 3.6% | Memória: 49.2% | Disco: 46.2% | Enviado: 757.97 MB | Recebido: 32661.13 MB
